model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
polrights_fh ~ gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.37519063778860584,0.3722800351696087,0.6227109495561962,128.90479632629288,2.117549997639668e-65,3,-610.5259752042771,1231.0519504085541,1253.4214038903156,249.72318879298362,644,648
polrights_fh ~ gini + labour_force_participation_rate_percent + murder_per_mil_people,0.4217542616142415,0.4190605702863577,0.5990581189091158,156.5711175769909,3.315451900964625e-76,3,-585.4329361152287,1180.8658722304574,1203.2353257122188,231.11268561111783,644,648
polrights_fh ~ gini + life_expectancy_years + military_spending_pct_of_gdp,0.3640614768960749,0.36109903035987645,0.6282323629875223,122.892167823984,6.142120893466334e-63,3,-616.2462969841337,1242.4925939682673,1264.8620474500287,254.1712808267465,644,648
polrights_fh ~ gini + life_expectancy_years + murder_per_mil_people,0.3738994542634253,0.37098283681434197,0.6233540410392359,128.1962618652395,4.109430020301683e-65,3,-611.1948380985143,1232.3896761970286,1254.75912967879,250.23924774908477,644,648
polrights_fh ~ gini + military_spending_pct_of_gdp + murder_per_mil_people,0.41129965103327015,0.408557258103301,0.6044493079693499,149.97838075592026,1.0492740337824912e-73,3,-591.2384904486108,1192.4769808972217,1214.846434378983,235.29117404257912,644,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.20937696152196192,0.20569393494520094,0.7004827917569287,56.84915847283776,1.3062830419654212e-32,3,-686.7873806578316,1383.5747613156632,1405.9442147974246,315.99543515664203,644,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.2720498709072876,0.26865879887735267,0.6721458967906386,80.22532948452371,4.1949269125599874e-44,3,-660.0286259559896,1330.0572519119792,1352.4267053937406,290.9463886326848,644,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.3927772101037601,0.38994853251107575,0.613884643476398,138.85541820657755,2.2032981114392975e-69,3,-601.2755080331796,1212.5510160663591,1234.9204695481205,242.6942049395169,644,648
polrights_fh ~ internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.27336196265175805,0.26997700285044646,0.6715398698062239,80.75781654654483,2.352180835097684e-44,3,-659.4441060893796,1328.8882121787592,1351.2576656605206,290.42197310014797,644,648
polrights_fh ~ internet_users + life_expectancy_years + murder_per_mil_people,0.3801130120306216,0.37722533972641636,0.6202531780175728,131.63301510253822,1.669430563125219e-66,3,-607.9633299961246,1225.9266599922491,1248.2961134740106,247.75581911753892,644,648
polrights_fh ~ internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.43172337129513644,0.42907611991918215,0.5938717076305756,163.08363278855612,1.2405874199306877e-78,3,-579.7983788947912,1169.5967577895824,1191.9662112713438,227.128241699892,644,648
polrights_fh ~ labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.2061317842108614,0.20243364034848976,0.7019189142213368,55.73925511882629,4.847486195704318e-32,3,-688.1145434504454,1386.2290869008907,1408.5985403826521,317.2924644192293,644,648
polrights_fh ~ labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.37713672675273957,0.3742351897655629,0.6217404167118923,129.97825925345512,7.77500714621744e-66,3,-609.5152399876804,1229.0304799753608,1251.3999334571222,248.94537787786186,644,648
polrights_fh ~ labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.45503353346965275,0.45249486980569154,0.5815641512019958,179.2413622683809,1.7692203185186064e-84,3,-566.227943758106,1142.455887516212,1164.8253409979734,217.81165910436374,644,648
polrights_fh ~ life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.3990425548378535,0.3962430636336821,0.6107093906689379,142.54109969813257,7.871991664798087e-71,3,-597.9150989947881,1205.8301979895762,1228.1996514713376,240.19007814418921,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + gini,0.5062046900605602,0.5031328685368313,0.5540177327275304,164.78974645833466,4.892326137304162e-97,4,-534.2805119810234,1080.5610239620469,1107.4043681401606,197.35962177752376,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + internet_users,0.45520754797346175,0.45181848139786907,0.5819232728003478,134.31649624464595,2.326165930740201e-83,4,-566.1244700470801,1144.2489400941602,1171.092284272274,217.74210915934754,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent,0.4750491636684465,0.4717835286057308,0.5712280185152953,145.46915210831662,1.60285418932717e-88,4,-554.1039770465754,1120.2079540931509,1147.0512982712646,209.8118317950335,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + life_expectancy_years,0.4542093403673848,0.4508140641021742,0.5824561494911282,133.7768431456938,4.181112085552713e-83,4,-566.7175827612388,1145.4351655224775,1172.2785097005913,218.14107178946028,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + military_spending_pct_of_gdp,0.5015967865180013,0.49849629996445866,0.5565966680440668,161.780023185346,9.604141478140257e-96,4,-537.2899328702332,1086.5798657404664,1113.4232099185801,199.20130411439783,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + murder_per_mil_people,0.494891652163088,0.49174945404279613,0.5603281719922462,157.49855140169356,6.958949610927984e-94,4,-541.6197202793306,1095.2394405586613,1122.082784736775,201.8812055910147,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + internet_users,0.503938732598281,0.5008528149161553,0.5552874326355898,163.30271397619893,2.1224425590929466e-96,4,-535.7639016296266,1083.5278032592532,1110.371147437367,198.26527741806484,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent,0.508178635867548,0.5051190939444845,0.5529092814468313,166.0963139732754,1.3549503257197825e-97,4,-532.9827269224226,1077.9654538448451,1104.8087980229589,196.57067706696296,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + life_expectancy_years,0.5049173254379025,0.5018374954250745,0.5547394473353382,163.94324470339018,1.1270887208075e-96,4,-535.1241072069569,1082.2482144139137,1109.0915585920275,197.87415439843633,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + military_spending_pct_of_gdp,0.5217336198393185,0.5187584013002163,0.5452367392291463,175.3597636551275,1.742083730624169e-101,4,-523.9276683667123,1059.8553367334246,1086.6986809115383,191.1530344607642,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + murder_per_mil_people,0.5130364692337918,0.5100071471139398,0.550171898805129,169.35685573736788,5.62417717057094e-99,4,-529.7665944658104,1071.5331889316208,1098.3765331097345,194.62910302500276,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent,0.4777978393639189,0.47454930337240364,0.5697305627790687,147.0809745103209,2.9810812925001446e-89,4,-552.4030355923653,1116.8060711847306,1143.6494153628444,208.7132438078085,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + life_expectancy_years,0.45784971430091165,0.4544770842188023,0.580510434924476,135.75450113240677,4.9014546862202545e-84,4,-564.549293091539,1141.098586183078,1167.9419303611917,216.68609073113933,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + military_spending_pct_of_gdp,0.499665196337107,0.49655269367046384,0.557674186180256,160.53486530053056,3.317986888045001e-95,4,-538.5431864526043,1089.0863729052087,1115.9297170833224,199.97332017015432,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + murder_per_mil_people,0.495847788422895,0.4927115382731152,0.5597975889401864,158.10211709601896,3.791614670380105e-94,4,-541.0058287763566,1094.0116575527131,1120.8550017308269,201.4990579950271,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent + life_expectancy_years,0.47310183083652807,0.46982408172820167,0.5722865380062756,144.33741424403541,5.249430851342137e-88,4,-555.3036483969017,1122.6072967938035,1149.4506409719172,210.59013985800294,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5159108649983702,0.51289942403413,0.5485457479383297,171.3169446536097,8.430657805147278e-100,4,-527.8484555622784,1067.696911124557,1094.5402553026706,193.48026736472545,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent + murder_per_mil_people,0.4960450567748698,0.49291003379990783,0.559688057384155,158.2269287136224,3.3446557169622715e-94,4,-540.8790268852063,1093.7580537704125,1120.6013979485263,201.42021397494278,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + life_expectancy_years + military_spending_pct_of_gdp,0.49995615333475923,0.496845460664991,0.5575120119701243,160.721809066407,2.7536360337854383e-95,4,-538.3547176765733,1088.7094353531465,1115.5527795312603,199.8570307646976,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + life_expectancy_years + murder_per_mil_people,0.501367750510983,0.4982658391611292,0.5567245424564704,161.63187595112763,1.1127822989469264e-95,4,-537.4387894963718,1086.8775789927436,1113.7209231708573,199.29284499947454,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + military_spending_pct_of_gdp + murder_per_mil_people,0.5427492405950609,0.5399047568662588,0.533122980033918,190.8076446700673,9.636358933100982e-108,4,-509.3684335719159,1030.7368671438317,1057.5802113219454,182.75353191327773,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + internet_users,0.5034419921176194,0.5003529842925347,0.5555653869388293,162.9785421808699,2.925210796693942e-96,4,-536.0881829188926,1084.1763658377852,1111.019710015899,198.4638141627678,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + labour_force_participation_rate_percent,0.5040889083919422,0.5010039249293727,0.5552033734188215,163.40084623081668,1.9261423600482147e-96,4,-535.6658001914645,1083.331600382929,1110.1749445610428,198.2052553051761,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + life_expectancy_years,0.5029287036684127,0.4998365027581073,0.5558524547497424,162.64425186355277,4.073543787635464e-96,4,-536.422926412529,1084.845852825058,1111.6891970031718,198.66896478319515,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + military_spending_pct_of_gdp,0.5181893380651048,0.5151920711168319,0.5472532991271332,172.88728265050594,1.8579460598026459e-100,4,-526.3198774525306,1064.6397549050612,1091.483099083175,192.56960949975678,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + murder_per_mil_people,0.511380203852478,0.5083405783710004,0.5511067297578848,168.23789870451142,1.670142960899501e-98,4,-530.866716791211,1073.733433582422,1100.5767777605358,195.2910775367886,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + labour_force_participation_rate_percent,0.46259452420849556,0.4592514108287662,0.5779645866681367,138.3723708006386,2.9336809907542693e-85,4,-561.7012173107747,1135.4024346215494,1162.2457787996632,214.78968979350822,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + life_expectancy_years,0.4392702817768229,0.4357820720211578,0.5903736592190618,125.93000781085692,2.3836977167086012e-79,4,-575.4667196023835,1162.933439204767,1189.7767833828807,224.1118999723103,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + military_spending_pct_of_gdp,0.47754147710882755,0.4742913463287892,0.5698703931948119,146.9299266484242,3.4887608622883926e-89,4,-552.5620563607866,1117.1241127215733,1143.967456899687,208.81570642072614,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + murder_per_mil_people,0.48901788655760864,0.48583914868238387,0.5635767060648582,153.84026797837825,2.8293801769786384e-92,4,-545.3656884343418,1102.7313768686836,1129.5747210467973,204.2288264269627,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years,0.4517670140082124,0.4483565444219494,0.5837578941377577,132.46475377697902,1.7473307866607632e-82,4,-568.16419693288606,1148.3283938657721,1175.1717380438859,219.11721837652013,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.490777765562752,0.4876099756129091,0.5626053586822167,154.92749624610977,9.3653774073609e-93,4,-544.2478704904416,1100.4957409808833,1127.339085158997,203.52543972433912,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent + murder_per_mil_people,0.48625910649862647,0.48306320669457437,0.5650960266271762,152.15092346828183,1.5887583689152508e-91,4,-547.1102513896117,1106.2205027792234,1133.063846957337,205.33145291621565,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + life_expectancy_years + military_spending_pct_of_gdp,0.4745734063931251,0.47130481172060956,0.5714868087868179,145.1918802853238,2.1426223201746525e-88,4,-554.3974817685007,1120.7949635370014,1147.6383077151152,210.00198199295022,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + life_expectancy_years + murder_per_mil_people,0.4929790298324786,0.48982493359504453,0.5613880273529304,156.2980304727587,2.3365488802885133e-93,4,-542.8442483346433,1097.6884966692867,1124.5318408474004,202.64564059510295,643,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + military_spending_pct_of_gdp + murder_per_mil_people,0.5344719142370665,0.5315759385869083,0.537926734702871,184.55677077528827,3.0354899728044107e-105,4,-515.181149556099,1042.362299112198,1069.2056432903116,186.0618055369038,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + labour_force_participation_rate_percent,0.5051520182676104,0.5020736482412813,0.5546079452545113,164.097237806726,9.681747594898618e-97,4,-534.9704793184447,1081.9409586368895,1108.7843028150032,197.78035260005413,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + life_expectancy_years,0.5027053581180894,0.49961176781089245,0.5559773193626348,162.49900865948254,4.704393044366891e-96,4,-536.5684743576883,1085.1369487153765,1111.9802928934903,198.75823131216018,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + military_spending_pct_of_gdp,0.515284008669551,0.5122686681325032,0.5489007942545702,170.8875008771079,1.2765082585803162e-99,4,-528.2677379821597,1068.5354759643194,1095.3788201424331,193.73080868311055,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + murder_per_mil_people,0.5109233002144222,0.5078808324086022,0.5513643368326643,167.93055270364837,2.2535614420813942e-98,4,-531.1695444890142,1074.3390889780285,1101.1824331561422,195.4736923315839,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + labour_force_participation_rate_percent + life_expectancy_years,0.5041229900149631,0.501038218568711,0.5551842948405108,163.42312511594488,1.8841758035930942e-96,4,-535.6435324392193,1083.2870648784385,1110.1304090565523,198.19163359574796,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5193531258638715,0.5163630986530714,0.5465919690453109,173.69511688319534,8.55727073048556e-101,4,-525.5363261446713,1063.0726522893426,1089.9159964674564,192.10446794176576,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + labour_force_participation_rate_percent + murder_per_mil_people,0.5105912035740159,0.5075466698481933,0.5515515009022027,167.70752093937085,2.8013428427728725e-98,4,-531.3894748120283,1074.7789496240566,1101.6222938021704,195.60642438882485,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + life_expectancy_years + military_spending_pct_of_gdp,0.5155322401330953,0.5125184438042187,0.5487602254483307,171.05742521269525,1.0831996084456965e-99,4,-528.1017694630887,1068.2035389261773,1095.046883104291,193.63159577692807,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + life_expectancy_years + murder_per_mil_people,0.51376142403653835,0.5107366117443862,0.5497622189316144,169.84902678737598,3.4885860014282544e-99,4,-529.2838881545279,1070.5677763090557,1097.4111204871695,194.33935380544574,643,648
polrights_fh ~ corruption_perception_index_cpi + gini + military_spending_pct_of_gdp + murder_per_mil_people,0.5370183846849632,0.5341382502195509,0.5364534692214139,186.45601138906423,5.229047626773474e-106,4,-513.4039823542408,1038.8079647084817,1065.6513088865954,185.044034743321,643,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.4638803553402718,0.4605452409100401,0.5772727348348405,139.0897868856811,1.361860433393365e-85,4,-560.9250650289375,1133.850130057875,1160.6934742359888,214.27577007671658,643,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.49577146808407185,0.49263474315768985,0.5598399594027932,158.05385544466256,3.980092703567993e-94,4,-541.0548733262162,1094.1097466524325,1120.9530908305462,201.52956163266987,643,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.4901720433633188,0.4870004853127018,0.562939870072192,154.55244253465938,1.370815501851276e-92,4,-544.6330409510297,1101.2660819020593,1128.109426080173,203.76753417476442,643,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.47737475145183156,0.4741235834981883,0.5699613137490334,146.8317719227246,3.864296295201254e-89,4,-552.6654339364434,1117.3308678728868,1144.1742120510005,208.88234316664696,643,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + life_expectancy_years + murder_per_mil_people,0.5023469053216552,0.499251085137031,0.5561776590691211,162.26617676847724,5.9265567279307215e-96,4,-536.8019312656281,1085.6038625312563,1112.44720670937,198.9014973718116,643,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.5341135790692452,0.5312153742734085,0.5381337264973122,184.2911790900693,3.8848407271398225e-105,4,-515.4304490876565,1042.860898175313,1069.7042423534267,186.2050245828674,643,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.4899333927179963,0.48676035005994345,0.563071610832337,154.40491840681338,1.5926207851734266e-92,4,-544.7846699786397,1101.5693399572795,1128.4126841353932,203.86291782898257,643,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.49232666130311203,0.48916850678555757,0.5617490717418303,155.89061857693412,3.528093125819369e-93,4,-543.2608613594548,1098.5217227189096,1125.3650668970233,202.90637860460558,643,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.5338345336133179,0.5309345929203992,0.53829486157839,184.08463832273375,4.70708645983901e-105,4,-515.6244527298396,1043.2489054596792,1070.092249637793,186.3165531950919,643,648
polrights_fh ~ corruption_perception_index_cpi + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.5381647420824726,0.535291738922799,0.5357889195672934,187.3178385726584,2.3615490653802075e-106,4,-512.600753092815,1037.20150618563,1064.0448503637438,184.58585975088928,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + gini + internet_users,0.37446726120344753,0.37057592223737257,0.6235556339780561,96.23095404129141,3.7894536333249924e-64,4,-610.9008710660601,1233.8017421321201,1260.6450863102339,250.0123072320937,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + gini + labour_force_participation_rate_percent,0.36189408183448035,0.35792452713360623,0.6297911761642758,91.16742534239077,2.200419930336793e-61,4,-617.3486708961378,1246.6973417922757,1273.5406859703894,255.03754314432751,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + gini + life_expectancy_years,0.3507639888016504,0.3467251955749111,0.6352599640957234,86.84871175859482,5.539445673032976e-59,4,-622.9512849605964,1257.9025699211927,1284.7459140993064,259.48600773500453,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + gini + military_spending_pct_of_gdp,0.35820519356343455,0.3542126908795368,0.6316089631820725,89.71946218298577,1.3897781432070317e-60,4,-619.216320607284,1250.432641214568,1277.2759853926818,256.5119143651527,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + gini + murder_per_mil_people,0.38409009762715757,0.3802586207850248,0.6187408342935201,100.24596609942088,2.6600658620011326e-66,4,-605.8779061016547,1223.7558122033095,1250.5991563814232,246.1662614743012,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + internet_users + labour_force_participation_rate_percent,0.2450308830691205,0.2403343411286485,0.6850381821854752,52.17261682634804,4.5301597530204014e-38,4,-671.8365797484036,1355.673159496807,1382.5165036749208,301.7453110064233,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + internet_users + life_expectancy_years,0.24107024315051662,0.2363490627035525,0.6868327194718437,51.06143386354416,2.397180107198613e-37,4,-673.5318716646093,1359.0637433292186,1385.9070875073323,303.3282956573478,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + internet_users + military_spending_pct_of_gdp,0.2993802800608762,0.2950218370130435,0.6599201112109532,68.68973089134207,2.0439523942262793e-48,4,-647.6300258512227,1307.2600517024455,1334.1033958805592,280.0229976951752,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + internet_users + murder_per_mil_people,0.380216511126567,0.3763609373233108,0.6206834800667946,98.6147667061796,1.9765648895474825e-65,4,-607.9092289946237,1227.8184579892475,1254.6618021673612,247.7144527010928,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years,0.16827685825666763,0.16310284182280554,0.7190176941748923,32.52344873807424,1.03356802277982e-24,4,-703.2071602839575,1418.414320567915,1445.2576647460287,332.4222838370202,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.2429918652232976,0.23828263887943013,0.6859626327339593,51.599105135332586,1.0693559798254309e-37,4,-672.7104582168729,1357.4209164337458,1384.2642606118595,302.560263645197,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent + murder_per_mil_people,0.37698614886983,0.37311047950043563,0.6222989044137078,97.26994563747436,1.0425242936514834e-64,4,-609.5935578784992,1231.1871157569983,1258.030459935112,249.0055606973842,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + life_expectancy_years + military_spending_pct_of_gdp,0.2632560927786059,0.2586729269483017,0.6767191427158743,57.439792171154075,1.8833558444954885e-41,4,-663.9191563708034,1339.8383127416068,1366.6816569197206,294.46107718994335,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + life_expectancy_years + murder_per_mil_people,0.3445782356314896,0.34050096182515366,0.6382790862897035,84.51191948306806,1.1476979022142498e-57,4,-626.0236600810872,1264.0473201621744,1290.8906643402881,261.95832345266854,643,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + military_spending_pct_of_gdp + murder_per_mil_people,0.41907498544498284,0.41546114398585376,0.6009110968268563,115.96385458092715,1.9828466281016463e-74,4,-586.930708591876,1185.861417183752,1212.7047613618658,232.18353606424844,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + internet_users + labour_force_participation_rate_percent,0.38096122452890036,0.377110283468427,0.6203104705813516,98.92678660786049,1.3454979991150354e-65,4,-607.519686154838,1227.039372309676,1253.8827164877898,247.4168063839676,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + internet_users + life_expectancy_years,0.37276431116791164,0.3688623784224555,0.6244038408640693,95.53324864504472,9.040944641034459e-64,4,-611.7817300328028,1235.5634600656056,1262.4068042437193,250.6929406203707,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + internet_users + military_spending_pct_of_gdp,0.38461555128030334,0.38078734320117613,0.618476843567992,100.46882074602199,2.0244688841951093e-66,4,-605.6013727222836,1223.2027454445672,1250.046089622681,245.95624867717848,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + internet_users + murder_per_mil_people,0.4063268968020382,0.4026337515255345,0.6074686528048358,110.02190988455057,2.064661822813755e-71,4,-593.9638254392977,1199.9276508785954,1226.7709950567091,237.27867954235572,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent + life_expectancy_years,0.3671884093838373,0.36325178984656736,0.627173063961775,93.27505640498657,1.5327135422382047e-62,4,-614.6492477837012,1241.2984955674024,1268.141839745516,252.92151153836605,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.37617902363425804,0.3722983332680637,0.6227018734474687,96.93610882003009,1.5773693643447443e-64,4,-610.0130338300631,1232.0260676601263,1258.86941183824,249.3281517143769,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent + murder_per_mil_people,0.4217904891324457,0.4181935403867689,0.5995049879129768,117.2634137863078,4.424563301789235e-75,4,-585.4126366424915,1182.825273284983,1209.6686174630968,231.09820623242223,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + life_expectancy_years + military_spending_pct_of_gdp,0.36620339509658634,0.36226064794322155,0.6276609929304264,92.88026364664296,2.5204152420590948e-62,4,-615.1531837199063,1242.3063674398127,1269.1497116179264,253.31520107584086,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + life_expectancy_years + murder_per_mil_people,0.37413392617479835,0.37024051358490595,0.6237217525833179,96.09408649524582,4.493421823070372e-64,4,-611.0734787923058,1234.1469575846115,1260.9903017627253,250.14553424712437,643,648
polrights_fh ~ edu_exp_gdp_per_person + gini + military_spending_pct_of_gdp + murder_per_mil_people,0.41410012379626193,0.4104553345197224,0.6034786198067548,113.61428394823821,3.039214553194083e-73,4,-589.6935309381049,1191.3870618762098,1218.2304060543236,234.17188385456558,643,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.22290913339356527,0.2180749755919702,0.6950020531740794,46.11126540387382,4.44643722531979e-34,4,-681.1938440205485,1374.387688041097,1401.2310322192106,310.58691006810756,643,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.2897554238943095,0.28533710615803776,0.6644375194596001,65.58048587488125,1.5903688540745843e-46,4,-652.050722844882,1316.101445689764,1342.9447898678777,283.86985070179776,643,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.3934667009901864,0.38969355449556864,0.614012920141834,104.28079099272848,1.9646185565782617e-68,4,-600.9074026563687,1213.8148053127375,1240.6581494908512,242.41862990300868,643,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.29189255165071837,0.28748752864387994,0.663437119238362,66.26357029181867,6.079783963305162e-47,4,-651.0743362988658,1314.1486725977315,1340.9920167758453,283.01568559085973,643,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + life_expectancy_years + murder_per_mil_people,0.3803473422975462,0.37649258237404726,0.6206179660334044,98.6695280240197,1.8474910393200246e-65,4,-607.8408280533217,1227.6816561066435,1254.5250002847572,247.66216222789183,643,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.4337764728620932,0.43025408700120427,0.5932587340234654,123.14848230529016,5.409576946619275e-78,4,-578.6256939366583,1169.2513878733166,1196.0947320514304,226.3076600933653,643,648
